CASE	CORPUS	FILE	MATCHLEMMA	COMPLEMENTIZER	TYPE	L1	REGISTER	L_MATRBE4S	SURPRISAL
1523	ICE-GB	S1A-090	know	absent	obj	English	spoken	0	5.0905411505
1524	ICE-GB	S1A-022	know	absent	obj	English	spoken	0	5.0905411505
1525	ICE-GB	S1A-066	know	present	obj	English	spoken	0	5.0905411505
1526	ICE-GB	S1A-027	know	absent	obj	English	spoken	0	5.0905411505
1527	ICLE	GEAU2044	know	present	obj	German	written	0	5.0905411505
1528	ICE-GB	S1A-015	know	absent	obj	English	spoken	0	5.0905411505
1529	ICE-GB	W1B-006	know	present	obj	English	written	0	5.0905411505
1530	ICE-GB	S1B-013	know	absent	obj	English	spoken	0	5.0905411505
1531	LINDSEI	SP030	know	absent	obj	Spanish	spoken	0	5.0905411505
1532	ICE-GB	W1B-006	know	absent	obj	English	written	4	5.0905411505
1533	ICE-GB	W1B-009	know	absent	obj	English	written	0	5.0905411505
1534	LINDSEI	SP007	know	absent	obj	Spanish	spoken	0	5.0905411505
1535	LINDSEI	SP014	know	absent	obj	Spanish	spoken	0	5.0905411505
1536	ICE-GB	S1A-016	know	absent	obj	English	spoken	0	5.0905411505
1537	ICE-GB	S2B-014	know	absent	obj	English	spoken	0	5.0905411505
1538	ICE-GB	S1B-064	know	absent	obj	English	spoken	0	5.0905411505
1539	ICE-GB	W1B-004	know	absent	obj	English	written	0	5.0905411505
1540	ICE-GB	S1B-012	know	absent	obj	English	spoken	0	5.0905411505
1541	ICE-GB	S1B-015	know	absent	obj	English	spoken	0	5.0905411505
1542	ICE-GB	S1A-054	know	absent	obj	English	spoken	0	5.0905411505
1543	LINDSEI	SP045	know	absent	obj	Spanish	spoken	0	5.0905411505
1544	LINDSEI	GE022	know	absent	obj	German	spoken	0	5.0905411505
1545	ICLE	GEAU1022	know	present	obj	German	written	0	7.9014048583
1546	ICLE	GEAU2037	know	present	obj	German	written	0	7.9014048583
1547	ICE-GB	S2B-043	know	absent	obj	English	spoken	2	6.2974850172
1548	LINDSEI	GE019	know	present	obj	German	spoken	8	4.0697777607
1549	ICLE	GEAU3038	know	present	obj	German	written	9	4.0697777607
1550	ICE-GB	S2B-012	know	absent	obj	English	spoken	0	4.0697777607
1551	LINDSEI	GE028	know	present	obj	German	spoken	0	4.0697777607
1552	ICLE	GEAU3100	know	present	obj	German	written	0	7.1099348872
1553	ICE-GB	S2A-035	know	absent	obj	English	spoken	0	7.1099348872
1554	ICLE	GEAU1040	know	present	obj	German	written	0	9.2567762755
1555	ICE-GB	S2B-032	know	present	obj	English	spoken	0	7.6718137748
1556	ICE-GB	W2F-004	know	absent	obj	English	written	4	7.6718137748
1557	ICLE	GEAU3089	maintain	present	obj	German	written	0	6.5313198079
1558	ICLE	SPM10014	mean	present	sub	Spanish	written	0	5.7331696245
1559	ICE-GB	S1A-005	mean	absent	obj	English	spoken	0	5.7331696245
1560	ICLE	SPM07011	mean	present	sub	Spanish	written	0	5.7331696245
1561	ICE-GB	W2E-005	mean	absent	obj	English	written	0	5.7331696245
1562	ICE-GB	S1A-005	mean	absent	obj	English	spoken	9	11.5711128664
1563	ICE-GB	S1B-019	mean	absent	obj	English	spoken	0	10.0185718434
1564	ICE-GB	S1A-037	mean	present	obj	English	spoken	0	10.0185718434
1565	ICE-GB	S1A-070	mean	present	obj	English	spoken	0	8.1204514574
1566	ICLE	GEBA1018	mean	present	sub	German	written	0	8.1204514574
1567	ICE-GB	S1A-012	mean	absent	obj	English	spoken	0	12.67064854
1568	ICE-GB	S1A-045	mean	absent	obj	English	spoken	0	12.67064854
1569	ICLE	SPM04007	mean	present	sub	Spanish	written	0	8.5831856987
1570	ICLE	GEBA1004	mean	present	sub	German	written	0	13.8930409613
1571	LINDSEI	GE032	mean	absent	obj	German	spoken	0	8.8197919793
1572	LINDSEI	GE032	mean	absent	obj	German	spoken	0	10.8341472723
1573	ICE-GB	S1A-054	mean	absent	obj	English	spoken	0	10.2300759486
1574	ICE-GB	S1A-066	mean	absent	obj	English	spoken	0	10.2300759486
1575	LINDSEI	SP019	mean	absent	obj	Spanish	spoken	0	10.1204514574
1576	ICE-GB	S1B-035	mean	absent	obj	English	spoken	15	10.1204514574
1577	ICE-GB	S1A-031	mean	absent	obj	English	spoken	0	13.8930409613
1578	LINDSEI	GE004	mean	absent	obj	German	spoken	0	8.7775637439
1579	ICE-GB	S1A-031	mean	absent	obj	English	spoken	0	8.7775637439
1580	LINDSEI	GE048	mean	absent	obj	German	spoken	0	10.6200224669
1581	LINDSEI	GE011	mean	absent	obj	German	spoken	0	11.478003462
1582	LINDSEI	GE032	mean	absent	obj	German	spoken	0	12.0185718434
1583	ICE-GB	S1B-023	mean	absent	obj	English	spoken	0	7.6262544206
1584	LINDSEI	GE011	mean	absent	obj	German	spoken	0	7.6262544206
1585	LINDSEI	GE009	mean	absent	obj	German	spoken	0	14.478003462
1586	ICE-GB	S1A-095	mean	absent	obj	English	spoken	0	5.6868405735
1587	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	0	5.6868405735
1588	ICE-GB	S1A-054	mean	absent	obj	English	spoken	0	5.6868405735
1589	LINDSEI	GE040	mean	absent	obj	German	spoken	0	5.6868405735
1590	ICE-GB	S1B-049	mean	absent	obj	English	spoken	0	5.6868405735
1591	ICE-GB	S1B-080	mean	absent	obj	English	spoken	0	5.6868405735
1592	ICE-GB	S1B-080	mean	absent	obj	English	spoken	0	5.6868405735
1593	LINDSEI	SP007	mean	absent	obj	Spanish	spoken	0	5.6868405735
1594	LINDSEI	GE032	mean	absent	obj	German	spoken	0	5.6868405735
1595	ICLE	GEBA1047	mean	present	sub	German	written	0	5.6868405735
1596	ICE-GB	S1B-058	mean	absent	obj	English	spoken	0	5.6868405735
1597	LINDSEI	GE032	mean	absent	obj	German	spoken	0	5.6868405735
1598	ICE-GB	S1A-032	mean	absent	obj	English	spoken	0	5.6868405735
1599	ICLE	SPAL1007	mean	present	sub	Spanish	written	0	5.6868405735
1600	ICE-GB	W2F-006	mean	absent	obj	English	written	0	5.6868405735
1601	ICE-GB	S1A-094	mean	absent	obj	English	spoken	0	5.6868405735
1602	ICE-GB	W2E-005	mean	present	obj	English	written	0	5.6868405735
1603	ICE-GB	W2D-007	mean	present	obj	English	written	0	5.6868405735
1604	LINDSEI	GE004	mean	absent	obj	German	spoken	0	10.2685500964
1605	ICLE	SPM05004	mean	absent	sub	Spanish	written	0	15.478003462
1606	LINDSEI	GE041	mean	absent	obj	German	spoken	0	3.6690392871
1607	ICE-GB	S1B-018	mean	absent	obj	English	spoken	0	3.6690392871
1608	ICE-GB	S1A-095	mean	absent	obj	English	spoken	0	3.6690392871
1609	ICE-GB	S1A-078	mean	absent	obj	English	spoken	0	3.6690392871
1610	ICE-GB	S1A-099	mean	absent	obj	English	spoken	0	3.6690392871
1611	ICE-GB	S1B-012	mean	absent	obj	English	spoken	0	3.6690392871
1612	ICE-GB	S1B-066	mean	absent	obj	English	spoken	0	3.6690392871
1613	LINDSEI	SP014	mean	absent	obj	Spanish	spoken	0	3.6690392871
1614	LINDSEI	GE037	mean	absent	obj	German	spoken	0	3.6690392871
1615	LINDSEI	GE017	mean	absent	obj	German	spoken	0	3.6690392871
1616	ICE-GB	S1A-098	mean	absent	obj	English	spoken	0	3.6690392871
1617	ICE-GB	S1B-014	mean	absent	obj	English	spoken	0	3.6690392871
1618	LINDSEI	GE042	mean	absent	obj	German	spoken	0	3.6690392871
1619	ICE-GB	S1A-034	mean	absent	obj	English	spoken	0	3.6690392871
1620	LINDSEI	GE032	mean	absent	obj	German	spoken	0	3.6690392871
1621	ICE-GB	S1B-008	mean	absent	obj	English	spoken	0	3.6690392871
1622	LINDSEI	SP003	mean	absent	obj	Spanish	spoken	0	3.6690392871
1623	ICE-GB	S1A-066	mean	absent	obj	English	spoken	0	3.6690392871
1624	ICE-GB	S1B-072	mean	absent	obj	English	spoken	0	3.6690392871
1625	LINDSEI	GE045	mean	absent	obj	German	spoken	0	3.6690392871
1626	ICE-GB	S1A-078	mean	present	obj	English	spoken	0	3.6690392871
1627	ICE-GB	S1B-012	mean	absent	obj	English	spoken	0	3.6690392871
1628	LINDSEI	GE042	mean	absent	obj	German	spoken	0	3.6690392871
1629	LINDSEI	GE041	mean	absent	obj	German	spoken	0	3.6690392871
1630	LINDSEI	SP007	mean	absent	obj	Spanish	spoken	0	3.6690392871
1631	LINDSEI	GE041	mean	absent	obj	German	spoken	0	3.6690392871
1632	LINDSEI	SP014	mean	absent	obj	Spanish	spoken	0	3.6690392871
1633	LINDSEI	SP014	mean	absent	obj	Spanish	spoken	0	3.6690392871
1634	ICE-GB	S1A-066	mean	absent	obj	English	spoken	0	3.6690392871
1635	LINDSEI	SP024	mean	present	obj	Spanish	spoken	0	3.6690392871
1636	ICE-GB	S1A-005	mean	absent	obj	English	spoken	0	3.6690392871
1637	LINDSEI	GE009	mean	absent	obj	German	spoken	0	3.6690392871
1638	ICE-GB	S1A-039	mean	absent	obj	English	spoken	0	3.6690392871
1639	LINDSEI	GE048	mean	absent	obj	German	spoken	0	3.6690392871
1640	LINDSEI	GE042	mean	absent	obj	German	spoken	0	3.6690392871
1641	LINDSEI	GE032	mean	absent	obj	German	spoken	0	3.6690392871
1642	LINDSEI	GE036	mean	absent	obj	German	spoken	0	3.6690392871
1643	LINDSEI	GE042	mean	absent	obj	German	spoken	0	3.6690392871
1644	ICE-GB	S1A-076	mean	absent	obj	English	spoken	0	3.6690392871
1645	ICE-GB	S1A-005	mean	absent	obj	English	spoken	0	3.6690392871
1646	ICLE	GEAU4013	mean	absent	sub	German	written	0	3.6690392871
1647	ICE-GB	S1B-046	mean	absent	obj	English	spoken	0	3.6690392871
1648	ICLE	SPM02005	mean	present	sub	Spanish	written	0	3.6690392871
1649	LINDSEI	GE009	mean	absent	obj	German	spoken	0	3.6690392871
1650	ICE-GB	S1A-052	mean	absent	obj	English	spoken	0	3.6690392871
1651	ICE-GB	S1B-078	mean	absent	obj	English	spoken	0	3.6690392871
1652	ICE-GB	S1A-041	mean	absent	obj	English	spoken	0	3.6690392871
1653	ICE-GB	S1A-039	mean	absent	obj	English	spoken	0	3.6690392871
1654	LINDSEI	GE042	mean	absent	obj	German	spoken	0	3.6690392871
1655	LINDSEI	GE032	mean	absent	obj	German	spoken	0	3.6690392871
1656	ICE-GB	W2F-006	mean	absent	obj	English	written	0	3.6690392871
1657	ICE-GB	S1B-067	mean	absent	obj	English	spoken	0	3.6690392871
1658	ICE-GB	S1A-022	mean	absent	obj	English	spoken	0	3.6690392871
1659	LINDSEI	GE032	mean	absent	obj	German	spoken	0	3.6690392871
1660	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	0	3.6690392871
1661	ICE-GB	S1B-045	mean	absent	obj	English	spoken	0	3.6690392871
1662	LINDSEI	SP025	mean	absent	obj	Spanish	spoken	0	3.6690392871
1663	LINDSEI	GE042	mean	absent	obj	German	spoken	0	3.6690392871
1664	LINDSEI	GE048	mean	absent	obj	German	spoken	0	3.6690392871
1665	ICE-GB	S1B-041	mean	absent	obj	English	spoken	0	3.6690392871
1666	ICLE	GEAU3084	mean	present	sub	German	written	0	3.6690392871
1667	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	0	3.6690392871
1668	LINDSEI	GE028	mean	absent	obj	German	spoken	0	3.6690392871
1669	ICE-GB	S1B-041	mean	absent	obj	English	spoken	0	3.6690392871
1670	ICE-GB	S1B-064	mean	absent	obj	English	spoken	0	3.6690392871
1671	LINDSEI	GE022	mean	absent	obj	German	spoken	0	3.6690392871
1672	LINDSEI	GE030	mean	absent	obj	German	spoken	0	3.6690392871
1673	LINDSEI	GE042	mean	absent	obj	German	spoken	0	3.6690392871
1674	ICE-GB	S1A-077	mean	present	obj	English	spoken	0	3.6690392871
1675	ICLE	GEBA1027	mean	present	sub	German	written	12	3.6690392871
1676	LINDSEI	GE042	mean	absent	obj	German	spoken	0	3.6690392871
1677	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	0	3.6690392871
1678	LINDSEI	SP014	mean	absent	obj	Spanish	spoken	0	5.5892602131
1679	LINDSEI	SP022	mean	absent	obj	Spanish	spoken	0	5.5892602131
1680	ICE-GB	S1A-078	mean	present	obj	English	spoken	0	5.5892602131
1681	ICE-GB	S1A-010	mean	absent	obj	English	spoken	0	5.7351276339
1682	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	0	5.5892602131
1683	ICE-GB	S1A-095	mean	absent	obj	English	spoken	0	5.5892602131
1684	ICE-GB	S1A-059	mean	absent	obj	English	spoken	0	5.5892602131
1685	LINDSEI	GE028	mean	absent	obj	German	spoken	0	5.5892602131
1686	ICE-GB	S1A-080	mean	absent	obj	English	spoken	0	5.5892602131
1687	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	0	5.5892602131
1688	ICE-GB	S1B-005	mean	absent	obj	English	spoken	0	5.5892602131
1689	ICE-GB	S1A-019	mean	absent	obj	English	spoken	8	5.5892602131
1690	LINDSEI	GE042	mean	absent	obj	German	spoken	0	5.5892602131
1691	ICE-GB	S1A-005	mean	absent	obj	English	spoken	0	5.5892602131
1692	LINDSEI	GE016	mean	absent	obj	German	spoken	0	5.5892602131
1693	ICE-GB	S1A-076	mean	absent	obj	English	spoken	0	5.5892602131
1694	LINDSEI	GE009	mean	absent	obj	German	spoken	0	7.0771240258
1695	LINDSEI	GE011	mean	absent	obj	German	spoken	0	7.0771240258
1696	ICE-GB	S1B-040	mean	absent	obj	English	spoken	0	7.0771240258
1697	ICE-GB	S1B-034	mean	absent	obj	English	spoken	0	7.0771240258
1698	LINDSEI	GE033	mean	absent	obj	German	spoken	0	7.0771240258
1699	LINDSEI	SP014	mean	absent	obj	Spanish	spoken	0	4.2348294786
1700	ICLE	SPM05020	mean	present	obj	Spanish	written	0	4.2348294786
1701	LINDSEI	SP003	mean	absent	obj	Spanish	spoken	0	4.2348294786
1702	LINDSEI	GE004	mean	absent	obj	German	spoken	0	4.2348294786
1703	ICLE	SPM05015	mean	absent	obj	Spanish	written	0	4.2348294786
1704	ICE-GB	S1A-057	mean	absent	obj	English	spoken	0	4.2348294786
1705	LINDSEI	GE036	mean	absent	obj	German	spoken	0	4.2348294786
1706	LINDSEI	GE042	mean	absent	obj	German	spoken	0	4.2348294786
1707	ICE-GB	S1A-037	mean	absent	obj	English	spoken	0	4.2348294786
1708	LINDSEI	GE032	mean	absent	obj	German	spoken	0	4.2348294786
1709	LINDSEI	SP011	mean	absent	obj	Spanish	spoken	0	4.2348294786
1710	LINDSEI	GE040	mean	absent	obj	German	spoken	0	4.2348294786
1711	LINDSEI	GE001	mean	absent	obj	German	spoken	0	4.2348294786
1712	LINDSEI	GE042	mean	absent	obj	German	spoken	0	4.2348294786
1713	LINDSEI	GE002	mean	absent	obj	German	spoken	0	4.2348294786
1714	LINDSEI	GE042	mean	absent	obj	German	spoken	0	4.2348294786
1715	LINDSEI	SP022	mean	present	obj	Spanish	spoken	0	4.2348294786
1716	LINDSEI	GE004	mean	absent	obj	German	spoken	0	4.2348294786
1717	LINDSEI	SP025	mean	absent	obj	Spanish	spoken	0	4.2348294786
1718	LINDSEI	SP014	mean	absent	obj	Spanish	spoken	0	4.2348294786
1719	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	0	4.2348294786
1720	LINDSEI	GE009	mean	absent	obj	German	spoken	0	4.2348294786
1721	LINDSEI	GE017	mean	absent	obj	German	spoken	0	4.2348294786
1722	ICE-GB	S1B-009	mean	present	obj	English	spoken	0	4.2348294786
1723	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	0	4.2348294786
1724	LINDSEI	GE026	mean	absent	obj	German	spoken	0	4.2348294786
1725	LINDSEI	SP025	mean	absent	obj	Spanish	spoken	0	4.2348294786
1726	LINDSEI	GE006	mean	absent	obj	German	spoken	0	4.2348294786
1727	ICLE	SPM03017	mean	present	sub	Spanish	written	0	4.2348294786
1728	LINDSEI	GE027	mean	absent	obj	German	spoken	0	4.2348294786
1729	LINDSEI	GE013	mean	absent	obj	German	spoken	0	4.2348294786
1730	LINDSEI	GE042	mean	absent	obj	German	spoken	0	4.2348294786
1731	ICLE	SPM10002	mean	present	sub	Spanish	written	7	4.2348294786
1732	ICLE	SPM03017	mean	present	sub	Spanish	written	0	4.2348294786
1733	LINDSEI	GE028	mean	absent	obj	German	spoken	0	4.2348294786
1734	LINDSEI	SP002	mean	absent	obj	Spanish	spoken	0	4.2348294786
1735	LINDSEI	SP002	mean	absent	obj	Spanish	spoken	0	4.2348294786
1736	ICLE	SPM03014	mean	present	sub	Spanish	written	6	4.2348294786
1737	LINDSEI	GE042	mean	absent	obj	German	spoken	12	4.2348294786
1738	LINDSEI	SP004	mean	absent	obj	Spanish	spoken	0	4.2348294786
1739	LINDSEI	GE037	mean	absent	obj	German	spoken	0	4.2348294786
1740	LINDSEI	SP005	mean	absent	obj	Spanish	spoken	0	4.2348294786
1741	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	0	4.2348294786
1742	LINDSEI	SP008	mean	absent	obj	Spanish	spoken	0	4.2348294786
1743	ICLE	GESA3011	mean	present	sub	German	written	0	4.2348294786
1744	LINDSEI	GE025	mean	absent	obj	German	spoken	0	4.2348294786
1745	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	0	4.2348294786
1746	ICE-GB	S1B-039	mean	absent	obj	English	spoken	0	4.2348294786
1747	ICE-GB	S1A-075	mean	absent	obj	English	spoken	0	8.6966437485
1748	ICE-GB	S1B-026	mean	absent	obj	English	spoken	0	12.1560753671
1749	LINDSEI	GE004	mean	absent	obj	German	spoken	0	7.7032164024
1750	ICLE	GESA5039	mean	present	obj	German	written	0	13.478003462
1751	LINDSEI	GE017	mean	absent	obj	German	spoken	0	10.2685500964
1752	ICLE	SPM01016	mean	present	sub	Spanish	written	0	13.478003462
1753	ICLE	SPM02002	mean	present	sub	Spanish	written	0	12.3080784606
1754	ICLE	SPM04052	mean	present	sub	Spanish	written	0	15.478003462
1755	LINDSEI	GE009	mean	absent	obj	German	spoken	0	8.2588349416
1756	LINDSEI	GE042	mean	absent	obj	German	spoken	0	8.2588349416
1757	LINDSEI	GE024	mean	absent	obj	German	spoken	0	10.7231159599
1758	LINDSEI	GE022	mean	absent	obj	German	spoken	0	7.478003462
1759	LINDSEI	GE024	mean	absent	obj	German	spoken	0	12.8930409613
1760	ICE-GB	S1B-005	mean	absent	obj	English	spoken	0	15.478003462
1761	ICE-GB	S1A-079	mean	absent	obj	English	spoken	0	10.5238071516
1762	ICE-GB	S1A-005	mean	absent	obj	English	spoken	0	8.1742227139
1763	ICE-GB	S1B-045	mean	absent	obj	English	spoken	0	11.0185718434
1764	ICE-GB	S1A-070	mean	present	obj	English	spoken	0	11.0185718434
1765	ICLE	SPM02006	mean	present	obj	Spanish	written	0	10.0517387073
1766	LINDSEI	SP014	mean	absent	obj	Spanish	spoken	0	8.7500830075
1767	LINDSEI	GE010	mean	absent	obj	German	spoken	0	8.7500830075
1768	ICLE	GESA5037	mean	present	sub	German	written	0	8.7500830075
1769	ICE-GB	S1B-034	mean	present	obj	English	spoken	0	8.7500830075
1770	LINDSEI	GE009	mean	absent	obj	German	spoken	0	8.7500830075
1771	LINDSEI	GE009	mean	absent	obj	German	spoken	0	10.67064854
1772	ICE-GB	S2A-035	mean	absent	obj	English	spoken	0	6.3257186197
1773	LINDSEI	SP025	mean	absent	obj	Spanish	spoken	0	6.3257186197
1774	LINDSEI	SP002	mean	absent	obj	Spanish	spoken	0	6.3257186197
1775	LINDSEI	SP025	mean	absent	obj	Spanish	spoken	0	6.3257186197
1776	LINDSEI	GE042	mean	absent	obj	German	spoken	0	6.3257186197
1777	ICE-GB	W1B-015	mean	present	obj	English	written	0	6.3257186197
1778	LINDSEI	GE004	mean	absent	obj	German	spoken	0	6.3257186197
1779	ICE-GB	W2F-006	mean	absent	obj	English	written	0	6.3257186197
1780	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	0	6.3257186197
1781	LINDSEI	GE032	mean	absent	obj	German	spoken	4	6.3257186197
1782	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	0	6.3257186197
1783	LINDSEI	SP004	mean	absent	obj	Spanish	spoken	0	6.3257186197
1784	LINDSEI	GE003	mean	absent	obj	German	spoken	0	11.3080784606
1785	ICE-GB	S2B-038	mean	present	obj	English	spoken	0	8.455635649
1786	ICE-GB	S1B-005	mean	absent	obj	English	spoken	0	8.455635649
1787	LINDSEI	GE036	mean	absent	obj	German	spoken	0	10.8341472723
1788	LINDSEI	GE040	mean	absent	obj	German	spoken	0	15.478003462
1789	ICE-GB	S1A-017	mean	absent	obj	English	spoken	0	3.4257750687
1790	LINDSEI	GE022	mean	absent	obj	German	spoken	0	3.4257750687
1791	ICE-GB	S1B-026	mean	absent	obj	English	spoken	0	3.4257750687
1792	ICE-GB	S1A-066	mean	absent	obj	English	spoken	0	3.4257750687
1793	LINDSEI	GE009	mean	absent	obj	German	spoken	0	3.4257750687
1794	LINDSEI	GE040	mean	present	obj	German	spoken	0	3.4257750687
1795	ICE-GB	S1A-084	mean	absent	obj	English	spoken	0	3.4257750687
1796	ICLE	SPAL1007	mean	present	sub	Spanish	written	11	4.7015704296
1797	ICLE	SPM02002	mean	present	sub	Spanish	written	8	4.7015704296
1798	ICLE	GEAU3014	mean	present	sub	German	written	0	4.7015704296
1799	ICE-GB	S1A-052	mean	absent	obj	English	spoken	0	4.7015704296
1800	ICE-GB	S1A-030	mean	absent	obj	English	spoken	0	4.7015704296
1801	ICLE	SPM02015	mean	present	sub	Spanish	written	0	4.7015704296
1802	ICE-GB	W2A-018	mean	present	obj	English	written	0	4.7015704296
1803	ICLE	SPM03017	mean	present	sub	Spanish	written	48	4.7015704296
1804	LINDSEI	GE042	mean	absent	obj	German	spoken	0	4.7015704296
1805	LINDSEI	GE042	mean	absent	obj	German	spoken	0	4.7015704296
1806	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	0	4.7015704296
1807	LINDSEI	SP002	mean	absent	obj	Spanish	spoken	0	4.7015704296
1808	ICLE	GEBA1027	mean	present	sub	German	written	9	4.7015704296
1809	ICE-GB	S1B-039	mean	absent	obj	English	spoken	0	4.7015704296
1810	ICLE	SPM09006	mean	absent	sub	Spanish	written	0	4.7015704296
1811	ICLE	SPM02009	mean	present	sub	Spanish	written	0	4.7015704296
1812	ICLE	GESA4006	mean	present	sub	German	written	0	4.7015704296
1813	ICLE	SPM04051	mean	present	sub	Spanish	written	0	4.7015704296
1814	ICLE	GEAU3014	mean	present	sub	German	written	0	4.7015704296
1815	LINDSEI	GE004	mean	absent	obj	German	spoken	0	4.7015704296
1816	LINDSEI	GE022	mean	absent	obj	German	spoken	0	5.9702088218
1817	ICLE	GEBA1041	mean	present	sub	German	written	49	5.9702088218
1818	ICE-GB	S1B-076	mean	absent	obj	English	spoken	0	5.9702088218
1819	ICE-GB	W2F-011	mean	present	obj	English	written	0	5.7973355703
1820	LINDSEI	GE042	mean	absent	obj	German	spoken	0	5.9702088218
1821	ICE-GB	S1A-066	mean	absent	obj	English	spoken	0	5.9702088218
1822	ICE-GB	S1B-062	mean	absent	obj	English	spoken	0	5.9702088218
1823	LINDSEI	GE042	mean	absent	obj	German	spoken	0	5.9702088218
1824	ICE-GB	S1A-068	mean	absent	obj	English	spoken	0	5.9702088218
1825	LINDSEI	GE042	mean	absent	obj	German	spoken	0	5.9702088218
1826	LINDSEI	SP014	mean	absent	obj	Spanish	spoken	0	5.9702088218
1827	ICE-GB	S1B-014	mean	absent	obj	English	spoken	0	5.9702088218
1828	LINDSEI	GE040	mean	absent	obj	German	spoken	0	5.9702088218
1829	ICE-GB	S1A-076	mean	absent	obj	English	spoken	0	5.9702088218
1830	ICE-GB	W2A-011	mean	present	obj	English	written	56	5.9702088218
1831	LINDSEI	GE042	mean	absent	obj	German	spoken	0	5.9702088218
1832	ICLE	GEBA1007	mean	present	sub	German	written	0	5.9702088218
1833	ICLE	SPM04042	mean	present	sub	Spanish	written	0	5.9702088218
1834	ICLE	SPAL1001	mean	present	sub	Spanish	written	0	9.7500830075
1835	LINDSEI	GE042	mean	absent	obj	German	spoken	0	9.7500830075
1836	ICE-GB	S1A-041	mean	absent	obj	English	spoken	0	5.4653789232
1837	ICE-GB	S2B-013	mean	absent	obj	English	spoken	0	5.4653789232
1838	LINDSEI	GE032	mean	absent	obj	German	spoken	0	5.4653789232
1839	ICE-GB	S1B-028	mean	present	obj	English	spoken	0	5.4653789232
1840	ICLE	SPM09005	mean	present	sub	Spanish	written	0	5.4653789232
1841	LINDSEI	GE009	mean	absent	obj	German	spoken	0	5.4653789232
1842	LINDSEI	GE009	mean	absent	obj	German	spoken	0	5.4653789232
1843	LINDSEI	SP014	mean	absent	obj	Spanish	spoken	0	5.4653789232
1844	LINDSEI	SP007	mean	absent	obj	Spanish	spoken	0	5.4653789232
1845	LINDSEI	GE009	mean	absent	obj	German	spoken	0	5.4653789232
1846	LINDSEI	GE042	mean	absent	obj	German	spoken	9	5.4653789232
1847	LINDSEI	GE009	mean	absent	obj	German	spoken	0	5.4653789232
1848	ICE-GB	S1B-003	mean	present	obj	English	spoken	0	5.4653789232
1849	LINDSEI	GE032	mean	absent	obj	German	spoken	0	5.4653789232
1850	ICE-GB	S1A-037	mean	absent	obj	English	spoken	0	5.4653789232
1851	LINDSEI	GE009	mean	absent	obj	German	spoken	0	5.4653789232
1852	ICLE	GEAU3012	mean	present	sub	German	written	7	5.4653789232
1853	LINDSEI	SP024	mean	absent	obj	Spanish	spoken	0	5.4653789232
1854	LINDSEI	SP002	mean	absent	obj	Spanish	spoken	0	5.4653789232
1855	LINDSEI	SP004	mean	absent	obj	Spanish	spoken	0	5.4653789232
1856	LINDSEI	GE009	mean	absent	obj	German	spoken	0	5.4653789232
1857	ICLE	SPM08007	mean	absent	sub	Spanish	written	0	5.4653789232
1858	ICE-GB	S1B-012	mean	absent	obj	English	spoken	8	7.364261296
1859	ICLE	GEDR1008	mean	present	sub	German	written	0	7.364261296
1860	LINDSEI	GE026	mean	absent	obj	German	spoken	0	7.364261296
1861	LINDSEI	GE040	mean	absent	obj	German	spoken	0	7.364261296
1862	ICE-GB	S1A-080	mean	present	obj	English	spoken	0	7.364261296
1863	ICE-GB	S1A-047	mean	absent	obj	English	spoken	0	7.364261296
1864	ICE-GB	S2A-045	mean	present	obj	English	spoken	0	5.4570235231
1865	ICE-GB	S2B-006	mean	absent	obj	English	spoken	0	5.4570235231
1866	ICLE	SPM02002	mean	present	sub	Spanish	written	0	5.4570235231
1867	LINDSEI	SP025	mean	absent	obj	Spanish	spoken	0	5.4570235231
1868	ICLE	GEAU3018	mean	present	sub	German	written	0	5.4570235231
1869	ICE-GB	S1B-053	mean	present	obj	English	spoken	8	5.4570235231
1870	ICE-GB	S1B-078	mean	absent	obj	English	spoken	0	5.4570235231
1871	ICE-GB	S1B-036	mean	absent	obj	English	spoken	0	5.4570235231
1872	ICLE	SPM01012	mean	present	sub	Spanish	written	0	5.4570235231
1873	LINDSEI	SP008	mean	absent	obj	Spanish	spoken	0	5.4570235231
1874	ICLE	SPM07013	mean	absent	sub	Spanish	written	0	5.4570235231
1875	LINDSEI	GE045	mean	absent	obj	German	spoken	0	5.4570235231
1876	ICLE	GEDR1024	mean	present	sub	German	written	0	5.4570235231
1877	ICE-GB	S2B-002	mean	present	obj	English	spoken	0	5.4570235231
1878	LINDSEI	GE030	mean	absent	obj	German	spoken	0	5.4570235231
1879	ICE-GB	S1A-068	mean	present	sub	English	spoken	0	5.4570235231
1880	ICE-GB	S1B-072	mean	absent	obj	English	spoken	0	8.8930409613
1881	ICLE	GESA3001	mean	present	sub	German	written	0	12.3080784606
